year,country,title,rating,genre
2012,"USA, Canada",Total Recall,1,"Action, Adventure, Sci-Fi"
2012,USA,Underworld: Awakening,3,"Action, Fantasy, Horror"
2012,USA,Wanderlust,3,Comedy
2012,USA,What to Expect When You&#39;re Expecting,3,"Comedy, Drama, Romance"
2012,USA,Won&#39;t Back Down,3,Drama
2012,"USA, Spain",Wrath of the Titans,1,"Action, Adventure, Fantasy"
2012,USA,Wreck-It Ralph,3,"Animation, Adventure, Comedy"
2012,USA,Zero Dark Thirty,3,"Drama, History, Thriller"
2011,"Germany, Canada, USA",30 Minutes or Less,1,"Action, Comedy, Crime"
2011,USA,50/50,2,"Comedy, Drama"
2011,"UK, Germany, Canada, Switzerland",A Dangerous Method,3,"Biography, Drama, Thriller"
2011,UK,A Lonely Place to Die,3,"Action, Adventure, Crime"
2011,USA,A Very Harold &amp; Kumar 3D Christmas,1,Comedy
2011,USA,Another Earth,3,"Drama, Sci-Fi"
2011,"USA, Canada",Apollo 18,0,"Horror, Sci-Fi, Thriller"
2011,"UK, USA",Arthur Christmas,1,"Animation, Comedy, Drama"
2011,"UK, France",Attack the Block,3,"Action, Comedy, Sci-Fi"
2011,USA,Bad Teacher,3,Comedy
2011,USA,Battle: Los Angeles,1,"Action, Adventure, Drama"
2011,USA,Beastly,1,"Drama, Fantasy, Romance"
2011,"Spain, USA, Bolivia, France",Blackthorn,1,"Action, Adventure, Western"
2011,USA,Bridesmaids,3,"Comedy, Romance"
2011,USA,Captain America: The First Avenger,1,"Action, Adventure, Sci-Fi"
2011,USA,Cars 2,2,"Animation, Adventure, Comedy"
2011,"France, USA, Iran",Circumstance,3,Drama
2011,France,Colombiana,1,"Action, Crime, Drama"
2011,USA,Conan the Barbarian,3,"Action, Adventure, Fantasy"
2011,"USA, United Arab Emirates",Contagion,3,"Drama, Sci-Fi, Thriller"
2011,UK,Coriolanus,2,"Drama, Thriller, War"
2011,USA,Cowboys &amp; Aliens,1,"Action, Sci-Fi, Thriller"
2011,USA,Detention,3,"Comedy, Horror, Sci-Fi"
2011,USA,Diary of a Wimpy Kid: Rodrick Rules,1,"Comedy, Family"
2011,USA,Dolphin Tale,2,"Drama, Family"
2011,"USA, Canada",Dream House,3,"Drama, Mystery, Thriller"
2011,USA,Drive,3,"Crime, Drama"
2011,USA,Fast Five,3,"Action, Crime, Thriller"
2011,"USA, Canada",Final Destination 5,2,"Horror, Thriller"
2011,USA,Footloose,3,"Comedy, Drama, Music"
2011,USA,Fright Night,3,"Comedy, Horror"
